replication_schema_version,seed_derivation_version,master_seed,replicate_index,replicate_id,simulation_seed,requested_llm_seed,llm_seed_supported,matrix_version,metrics_schema_version,condition_count,control_exp_id,execution_order,cache_scope,profile_seed,network_seed,target_seed,python_hash_seed,provider_model,provider_system_fingerprint
1.0,sha256-v1,2026080801,11,R011,3400452349,3556424927,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,3400452349,3400452349,3400452349,3600163862,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,12,R012,1266304436,1759312942,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1266304436,1266304436,1266304436,3111916357,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,13,R013,2043052977,2888603152,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2043052977,2043052977,2043052977,4083961937,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,14,R014,36135945,150946223,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,36135945,36135945,36135945,2755375189,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,15,R015,77062235,3052613046,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,77062235,77062235,77062235,3236937307,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,16,R016,2963652464,3481706714,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2963652464,2963652464,2963652464,1389245630,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,17,R017,1697595049,343589365,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1697595049,1697595049,1697595049,3843031878,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,18,R018,4093571174,3614285720,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4093571174,4093571174,4093571174,3460869000,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,19,R019,64568505,2342896124,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,64568505,64568505,64568505,3595226883,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,20,R020,2585949866,1060600445,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2585949866,2585949866,2585949866,629783151,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,21,R021,4176111758,445855537,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4176111758,4176111758,4176111758,4281891088,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,22,R022,3131053119,4227610927,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,3131053119,3131053119,3131053119,3069464916,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,23,R023,795410528,4261214437,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,795410528,795410528,795410528,2655614048,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,24,R024,4150305845,2221566822,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4150305845,4150305845,4150305845,1722803537,OpenAIProvider:qwen-plus,unavailable-prelaunch
